rok,delka,hodnoceni_pocet,zanr,zeme
2007,113.0,39,5,13
2009,7.0,26,2,11
2016,7.0,17,2,11
2012,110.0,5960,12,12
1997,45.0,82,4,10
2007,612.0,358,5,10
2007,590.0,22,5,10
2007,91.0,613,4,10
2009,99.0,48,5,10
2016,341.0,191,5,11
2007,286.0,71,12,10
2007,1990.0,599,5,10
1950,102.0,21,13,10
2004,29.0,14,12,11
1968,3.0,11,14,1
2009,91.0,4726,1,11
2007,210.0,285,4,10
2006,92.0,39,5,10
1989,50.0,11,2,3
2007,94.0,149,5,10
2006,95.0,91,28,4
2008,11.0,27,2,10
2013,11.0,13,2,10
2007,80.0,783,5,1
2006,373.0,88,13,11
2008,122.0,236,13,11
2011,21.0,10,12,10
1973,25.0,167,2,5
2006,24.0,12,2,3
2007,3.0,38,12,12
2009,94.0,9467,3,10
1995,108.0,3058,1,10
1919,80.0,15,12,10
1966,105.0,486,28,10
1963,6.0,22,14,10
2010,96.0,10365,1,10
2011,129.0,547,23,11
2008,101.0,321,17,10
2007,98.0,60,5,10
2004,137.0,133,4,12
2008,4471.0,9201,17,10
1960,92.0,14,12,11
2007,88.0,48,17,10
2006,112.0,16,4,10
2006,90.0,96,28,4
2005,57.0,438,11,12
2012,41.0,137,5,10
2014,43.0,142,5,10
1938,85.0,23,12,11
2005,20.0,11,4,12
2004,92.0,189,24,4
2007,90.0,128,24,10
2009,104.0,73,12,6
2010,50.0,29,3,11
2008,7.0,20,4,10
2003,8.0,30,15,12
2000,90.0,34,12,10
2017,323.0,48,2,3
1972,84.0,14,10,10
2009,26.0,78,4,12
2009,26.0,97,4,12
2010,27.0,64,4,12
2010,26.0,71,4,12
2011,26.0,51,4,12
2019,26.0,27,4,12
2008,18.0,41,4,12
2005,60.0,9811,21,12
2016,52.0,12,5,1
2017,52.0,13,5,1
2008,85.0,941,12,10
2003,57.0,52,4,12
2007,26.0,376,4,1
2008,24.0,19,2,3
1982,8.0,23,14,3
2006,87.0,11,13,1
2005,77.0,15,12,13
2009,43.0,90,13,10
2012,44.0,78,13,10
2013,44.0,70,13,10
2013,43.0,76,13,10
2013,45.0,68,13,10
2013,45.0,63,13,10
2008,17.0,223,4,12
2011,43.0,42,13,10
2010,28.0,21,12,10
2011,45.0,36,12,10
1955,81.0,1153,28,10
2007,48.0,79,4,12
2009,46.0,21,5,9
2006,4737.0,180,2,10
2007,30.0,103,4,11
2009,8.0,74,4,12
2010,21.0,77,12,10
2015,22.0,42,12,10
2010,52.0,25,4,12
2017,43.0,122,3,10
2010,86.0,1003,28,10
2008,90.0,11,23,4
2007,24.0,60,2,3
2009,95.0,560,5,10
2009,42.0,217,5,10
2014,42.0,114,5,10
2017,43.0,104,5,10
1997,40.0,2572,25,12
2008,73.0,11,12,4
1973,84.0,61,12,10
2012,3.0,37,2,12
1997,60.0,24,4,10
2003,57.0,13,4,11
2004,75.0,154,11,10
2011,42.0,21,13,10
2013,42.0,19,13,10
2017,43.0,23,13,10
2019,42.0,20,13,10
2007,195.0,31,4,12
2008,102.0,26,13,2
2017,60.0,12,13,6
2010,107.0,37578,1,10
2001,90.0,23,13,6
1999,90.0,37,13,6
2016,90.0,48,13,6
2018,90.0,16,13,6
1949,94.0,13,5,10
2009,30.0,19,12,11
2009,30.0,19,12,11
2009,100.0,10,12,10
2000,58.0,150,4,12
2004,52.0,39,4,12
2010,52.0,265,22,12
2012,52.0,166,22,12
2010,43.0,21,24,10
2009,91.0,123,17,13
2009,57.0,84,4,12
2013,44.0,22,4,10
1943,156.0,112,5,10
1991,79.0,10,13,10
2009,22.0,204,12,10
2013,22.0,129,12,10
2009,102.0,878,1,10
2011,21.0,111,12,10
2013,21.0,94,12,10
2016,483.0,235,12,10
2011,22.0,67,2,10
2014,22.0,58,2,10
2008,85.0,11,4,10
2010,2305.0,2155,12,10
2009,83.0,32,5,3
2009,58.0,65,13,3
2013,90.0,23,12,10
