delka,zeme,rok,hodnoceni_procenta,hodnoceni_pocet,zanr,zanr_id,zeme_id
58.0,USA,2021,66.0,35,Krimi,13,10
125.0,Japonsko,2016,81.0,65,Drama,5,3
3.0,Slovensko,2006,67.0,20,Krátkometrážní,14,9
3.0,Česko,2006,35.0,26,Hudební,11,12
28.0,USA,2022,63.0,195,Animovaný,2,10
3.0,USA,2014,57.0,46,Krátkometrážní,14,10
50.0,USA,2019,69.0,35,Krimi,13,10
87.0,USA,2012,69.0,42,Komedie,12,10
47.0,USA,2017,56.0,67,Krátkometrážní,14,10
89.0,USA,2017,53.0,1 370,Drama,5,10
6.0,Velká Británie,1994,80.0,62,Krátkometrážní,14,11
108.0,Japonsko,2014,68.0,26,Animovaný,2,3
18.0,Japonsko,2013,66.0,20,Animovaný,2,3
27.0,USA,2017,81.0,123,Animovaný,2,10
86.0,Německo,2017,82.0,10,Hudební,11,6
101.0,Rakousko,2017,49.0,37,Thriller,28,8
23.0,Kanada,2017,74.0,19,Krátkometrážní,14,4
99.0,Japonsko,2017,85.0,96,Animovaný,2,3
108.0,Japonsko,1947,78.0,95,Drama,5,3
30.0,USA,2020,88.0,71,Drama,5,10
43.0,USA,2018,81.0,54,Akční,1,10
48.0,USA,2018,80.0,10,Dokumentární,4,10
52.0,Španělsko,2016,84.0,33,Dokumentární,4,13
288.0,Japonsko,2017,58.0,58,Animovaný,2,3
147.0,USA,2017,84.0,1 053,Dokumentární,4,10
80.0,Česko,2017,26.0,13,Hudební,11,12
29.0,Česko,2017,68.0,25,Dokumentární,4,12
54.0,USA,2012,89.0,199,Akční,1,10
4.0,Česko,2017,53.0,16,Krátkometrážní,14,12
66.0,USA,2017,72.0,44,Komedie,12,10
19.0,USA,2019,76.0,294,Komedie,12,10
57.0,USA,1984,71.0,22,Krátkometrážní,14,10
43.0,USA,2018,81.0,111,Drama,5,10
23.0,Velká Británie,2017,73.0,12,Komedie,12,11
3.0,Česko,2010,39.0,49,Hudební,11,12
87.0,USA,2017,43.0,105,Romantický,23,10
53.0,USA,2016,88.0,1 276,Životopisný,30,10
57.0,USA,2017,91.0,878,Životopisný,30,10
39.0,USA,2017,54.0,14,Krátkometrážní,14,10
27.0,USA,2022,82.0,149,Komedie,12,10
48.0,USA,2021,81.0,312,Drama,5,10
4.0,Česko,2013,86.0,38,Krátkometrážní,14,12
89.0,Itálie,1989,63.0,45,Horor,10,2
86.0,USA,2018,60.0,13,Drama,5,10
3.0,USA,2018,75.0,13,Krátkometrážní,14,10
47.0,USA,2022,79.0,54,Drama,5,10
5.0,Slovensko,2015,75.0,19,Krátkometrážní,14,9
90.0,Německo,2004,54.0,60,Krimi,13,6
90.0,Německo,2008,56.0,54,Krimi,13,6
33.0,Česko,2016,83.0,21,Krátkometrážní,14,12
103.0,USA,2000,55.0,72,Komedie,12,10
59.0,Velká Británie,2017,63.0,63,Dokumentární,4,11
55.0,Velká Británie,1998,84.0,19,Krátkometrážní,14,11
46.0,USA,2019,78.0,311,Sci-Fi,24,10
56.0,Česko,2016,45.0,22,Komedie,12,12
58.0,Česko,2016,42.0,21,Komedie,12,12
82.0,Kanada,2018,58.0,56,Komedie,12,4
84.0,USA,2018,59.0,34,Komedie,12,10
100.0,Itálie,2018,86.0,35,Dokumentární,4,2
44.0,Německo,2011,75.0,16,Dokumentární,4,6
53.0,USA,2021,82.0,24,Drama,5,10
90.0,Německo,2018,49.0,11,Drama,5,6
51.0,USA,2018,84.0,57,Dokumentární,4,10
6.0,Česko,2018,40.0,48,Komedie,12,12
