delka,zanry,zeme,rok,hodnoceni_procenta,hodnoceni_pocet
NaN,"Hudební,Komedie",NaN,NaN,NaN,NaN
28,"Rodinný,Komedie",USA,2016,NaN,7
50,Drama,Německo,2015,NaN,NaN
50,Drama,Německo,2017,NaN,NaN
39,,NaN,1998,NaN,NaN
74,Dokumentární,Francie,2012,NaN,NaN
43,"Komedie,Drama,Rodinný",Německo,2014,NaN,NaN
43,"Komedie,Drama,Rodinný",Německo,2016,NaN,NaN
45,"Komedie,Drama,Rodinný",Německo,2019,NaN,NaN
48,"Drama,Krimi",NaN,2018,NaN,NaN
47,"Fantasy,Krimi",NaN,2013,NaN,NaN
41,"Fantasy,Krimi",NaN,2015,NaN,NaN
48,Krimi,NaN,2013,NaN,NaN
50,"Drama,Krimi",NaN,2003,NaN,NaN
22,"Komedie,Krátkometrážní",NaN,2001,NaN,1
NaN,,NaN,NaN,NaN,NaN
16,"Dokumentární,Krátkometrážní",Česko,2014,NaN,3
13,Krátkometrážní,NaN,2011,NaN,NaN
86,"Pornografický,Drama",NaN,1983,NaN,1
90,"Drama,Romantický,Thriller",NaN,2015,41,19
80,"Drama,Romantický",NaN,2013,NaN,6
20,Krátkometrážní,Francie,2015,NaN,1
94,Drama,NaN,2015,NaN,1
54,Dokumentární,NaN,2014,72,17
NaN,Dokumentární,Maďarsko,NaN,NaN,NaN
NaN,Pornografický,USA,NaN,NaN,1
NaN,,Itálie,NaN,NaN,1
8,Krátkometrážní,USA,2008,NaN,NaN
49,"Dokumentární,Životopisný",NaN,1992,NaN,NaN
15,"Dokumentární,Krátkometrážní",NaN,1971,NaN,1
NaN,Pornografický,NaN,NaN,NaN,3
18,Drama,Kanada,2018,NaN,NaN
95,Drama,Francie,2012,NaN,1
46,Dokumentární,USA,2013,NaN,NaN
13,"Krátkometrážní,Animovaný",Německo,2008,NaN,NaN
86,"Horor,Sci-Fi,Thriller",USA,2015,41,850
60,Publicistický,Česko,2015,NaN,NaN
48,"Krimi,Drama,Thriller",USA,2016,91,422
NaN,Thriller,USA,NaN,NaN,NaN
2,"Hudební,Krátkometrážní",USA,1956,65,30
NaN,Pornografický,USA,NaN,NaN,1
29,"Krátkometrážní,Dokumentární",NaN,1999,NaN,NaN
NaN,Komedie,Japonsko,NaN,NaN,NaN
80,"Dobrodružný,Drama",NaN,2013,NaN,NaN
15,"Krátkometrážní,Drama",Kanada,2014,74,10
29,"Krátkometrážní,Dokumentární",NaN,1998,NaN,NaN
29,Dokumentární,Maďarsko,1995,NaN,NaN
22,Komedie,USA,2015,67,11
21,Komedie,USA,2019,NaN,5
NaN,Drama,NaN,NaN,NaN,NaN
92,Krimi,NaN,1951,NaN,NaN
NaN,Drama,NaN,NaN,NaN,NaN
84,"Komedie,Drama,Rodinný",NaN,2014,NaN,NaN
14,"Krátkometrážní,Drama",USA,2010,NaN,NaN
24,"Animovaný,Drama,Hudební,Komedie",Japonsko,2016,NaN,4
25,"Animovaný,Dobrodružný,Drama,Fantasy,Komedie,Romantický",Japonsko,2015,85,13
25,"Animovaný,Dobrodružný,Drama,Fantasy,Komedie,Romantický",Japonsko,2019,78,13
276,"Animovaný,Akční,Sci-Fi",Japonsko,2015,49,21
25,"Animovaný,Komedie,Romantický",Japonsko,2015,NaN,2
71,Dokumentární,NaN,2008,NaN,NaN
70,"Krimi,Rodinný",NaN,1981,49,472
22,Komedie,Kanada,2009,NaN,NaN
528,Komedie,Kanada,2015,NaN,NaN
NaN,Komedie,Japonsko,NaN,NaN,1
45,"Dokumentární,Historický",Česko,2015,NaN,5
NaN,Dokumentární,USA,NaN,NaN,NaN
84,Drama,Japonsko,2010,NaN,NaN
4,"Animovaný,Krátkometrážní",Velká Británie,2004,NaN,NaN
NaN,Western,USA,NaN,NaN,NaN
22,"Animovaný,Komedie,Rodinný",USA,2017,80,12
NaN,"Dokumentární,Krátkometrážní",Itálie,NaN,NaN,NaN
90,Drama,NaN,2009,NaN,1
NaN,"Drama,Dokumentární",USA,NaN,NaN,NaN
75,"Komedie,Drama",NaN,2005,NaN,NaN
55,Dokumentární,NaN,2011,NaN,NaN
9,"Krátkometrážní,Animovaný",NaN,2002,NaN,2
NaN,"Krátkometrážní,Drama,Romantický",USA,NaN,NaN,NaN
NaN,"Drama,Western,Krátkometrážní",USA,NaN,NaN,NaN
60,Western,USA,1922,NaN,NaN
5,"Hudební,Animovaný,Krátkometrážní",Velká Británie,1974,55,11
NaN,"Komedie,Krátkometrážní",USA,NaN,NaN,NaN
NaN,Komedie,USA,NaN,NaN,NaN
92,Drama,Španělsko,1984,NaN,NaN
46,Krimi,NaN,2012,NaN,NaN
NaN,"Komedie,Krátkometrážní",USA,NaN,NaN,NaN
90,"Dokumentární,Historický,Hudební",NaN,2015,NaN,9
50,Dokumentární,NaN,1994,NaN,NaN
28,Komedie,USA,2018,76,25
27,Komedie,USA,2019,83,25
NaN,"Krátkometrážní,Pornografický",NaN,NaN,NaN,1
60,Dokumentární,Velká Británie,2013,87,42
75,Pornografický,USA,1987,NaN,1
107,"Pornografický,Komedie",USA,2010,NaN,3
4,"Krátkometrážní,Dokumentární",NaN,2001,NaN,NaN
90,"Komedie,Drama,Romantický",Německo,2005,15,31
NaN,"Krátkometrážní,Komedie",USA,NaN,NaN,NaN
81,Dokumentární,USA,2015,65,70
27,"Krátkometrážní,Dokumentární",NaN,2001,NaN,NaN
45,Krimi,Rakousko,2013,NaN,NaN
45,Krimi,Rakousko,2018,NaN,NaN
45,Krimi,Rakousko,2018,NaN,NaN
230,Animovaný,NaN,2014,NaN,NaN
63,Experimentální,USA,2004,NaN,2
115,"Drama,Romantický",NaN,1968,NaN,NaN
NaN,,NaN,NaN,NaN,NaN
NaN,Drama,NaN,NaN,NaN,NaN
85,,NaN,1938,NaN,NaN
52,Komedie,Francie,2015,NaN,NaN
100,"Akční,Krimi,Mysteriózní,Thriller",USA,1983,NaN,3
317,"Drama,Komedie",NaN,(2015–2016),NaN,NaN
NaN,"Akční,Drama,Romantický",NaN,NaN,NaN,NaN
70,Komedie,NaN,1957,NaN,NaN
NaN,,Japonsko,NaN,NaN,NaN
138,Drama,NaN,1961,NaN,NaN
80,,Japonsko,1948,NaN,NaN
NaN,Krátkometrážní,Velká Británie,NaN,NaN,NaN
55,Komedie,Česko,2016,58,64
NaN,,Velká Británie,NaN,NaN,NaN
NaN,Krátkometrážní,Itálie,NaN,NaN,NaN
NaN,,Itálie,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
59,"Komedie,Hudební",NaN,2011,NaN,NaN
77,Horor,USA,2011,NaN,NaN
103,"Dobrodružný,Rodinný,Fantasy",Kanada,2015,NaN,NaN
360,Sportovní,NaN,2011,NaN,NaN
35,,Francie,1982,NaN,NaN
46,Dokumentární,NaN,2011,NaN,NaN
60,Western,USA,1949,NaN,1
60,Western,USA,1949,NaN,NaN
59,Drama,USA,2019,77,48
NaN,NaN,NaN,NaN,NaN,NaN
60,"Dokumentární,Hudební",Kanada,1994,NaN,NaN
92,Horor,NaN,2015,NaN,5
15,"Komedie,Romantický",NaN,2015,58,22
59,Pornografický,USA,1975,NaN,1
85,Dokumentární,Velká Británie,2012,NaN,4
NaN,NaN,NaN,NaN,NaN,NaN
25,"Krátkometrážní,Rodinný",Velká Británie,1952,NaN,NaN
25,Komedie,Slovensko,2016,44,11
27,Komedie,Slovensko,2017,NaN,8
26,Komedie,Slovensko,2018,NaN,9
40,"Dokumentární,Krátkometrážní,Drama",Velká Británie,1951,NaN,NaN
107,Drama,NaN,1976,NaN,6
NaN,,Francie,NaN,NaN,NaN
93,Mysteriózní,USA,2016,NaN,NaN
26,Dokumentární,Francie,2009,80,19
NaN,"Drama,Romantický",NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
133,"Romantický,Komedie",NaN,2015,NaN,NaN
130,"Romantický,Komedie",NaN,2016,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
63,"Dokumentární,Krimi",USA,2018,93,125
NaN,Drama,Francie,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
102,Rodinný,USA,2015,NaN,4
91,"Horor,Thriller",USA,2016,46,283
42,"Drama,Rodinný",USA,2016,60,11
30,Drama,Velká Británie,2015,NaN,6
NaN,Drama,NaN,NaN,NaN,NaN
43,Drama,NaN,2012,NaN,NaN
44,Drama,NaN,2012,NaN,NaN
43,Drama,NaN,2013,NaN,NaN
43,"Krimi,Drama,Thriller",USA,2016,NaN,NaN
43,"Krimi,Drama,Thriller",USA,2017,NaN,1
NaN,NaN,NaN,NaN,NaN,NaN
NaN,Krimi,NaN,NaN,NaN,NaN
58,Životopisný,Rakousko,2010,NaN,1
23,"Animovaný,Dobrodružný,Fantasy,Komedie",Japonsko,2016,87,45
NaN,"Krátkometrážní,Drama",USA,NaN,NaN,NaN
NaN,"Komedie,Drama",USA,NaN,NaN,NaN
NaN,"Krátkometrážní,Drama",USA,NaN,NaN,NaN
53,"Pornografický,Thriller",USA,1979,NaN,2
73,"Drama,Sci-Fi",USA,1952,37,18
NaN,NaN,NaN,NaN,NaN,NaN
115,"Drama,Sci-Fi,Horor,Thriller,Mysteriózní,Dobrodružný",NaN,2018,64,13 454
55,Komedie,NaN,1963,NaN,NaN
NaN,Krátkometrážní,NaN,NaN,NaN,NaN
70,Drama,USA,1921,NaN,NaN
75,Dokumentární,Rakousko,2013,NaN,3
22,Krátkometrážní,NaN,1934,NaN,NaN
20,"Hudební,Dokumentární,Krátkometrážní",Slovensko,1998,NaN,NaN
3,"Komedie,Reality-TV",Česko,2015,NaN,6
97,Komedie,Itálie,2011,NaN,NaN
9,Krátkometrážní,Německo,2009,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
209,Drama,USA,1930,NaN,NaN
18,"Animovaný,Pornografický",Japonsko,2015,80,10
91,"Drama,Thriller",USA,2016,NaN,1
107,Romantický,Kanada,2016,61,14
28,"Krátkometrážní,Drama,Romantický",NaN,2009,NaN,NaN
125,Thriller,NaN,2016,NaN,NaN
52,Dokumentární,Rakousko,2014,64,25
46,Krimi,NaN,2013,NaN,NaN
NaN,"Krátkometrážní,Drama",USA,NaN,NaN,NaN
75,Dokumentární,Francie,2015,NaN,NaN
49,"Dokumentární,Historický",Velká Británie,2015,82,22
30,"Dokumentární,Krátkometrážní,Životopisný",Německo,2015,NaN,NaN
NaN,"Krátkometrážní,Drama",USA,NaN,NaN,NaN
NaN,Muzikál,NaN,NaN,NaN,NaN
96,,Německo,2005,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
52,"Krimi,Drama",NaN,2013,66,32
105,Talk-show,NaN,2012,NaN,NaN
90,Hudební,Velká Británie,1975,93,123
90,"Komedie,Horor",USA,1990,52,137
60,Komedie,NaN,1967,NaN,NaN
106,"Drama,Komedie,Romantický",NaN,2017,65,10 486
540,Romantický,NaN,2015,NaN,3
23,"Animovaný,Akční,Dobrodružný",USA,2017,NaN,NaN
11,"Animovaný,Komedie",USA,2018,NaN,NaN
56,"Akční,Western",USA,1943,NaN,NaN
62,"Western,Dobrodružný",USA,1944,NaN,1
50,Komedie,USA,1919,NaN,NaN
52,Komedie,Francie,2015,80,14
7,"Animovaný,Komedie,Rodinný",Francie,2012,NaN,NaN
7,"Animovaný,Komedie,Rodinný",Francie,2019,NaN,NaN
3,Komedie,Francie,2015,NaN,NaN
50,Drama,NaN,1955,NaN,NaN
56,Western,USA,1946,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
11,"Krátkometrážní,Animovaný,Horor",NaN,2012,NaN,1
55,Drama,NaN,1991,NaN,NaN
62,Krimi,USA,1948,NaN,NaN
89,"Akční,Dobrodružný",NaN,1938,NaN,NaN
9,"Krátkometrážní,Animovaný",Francie,1989,NaN,NaN
4,Krátkometrážní,NaN,2011,NaN,NaN
11,"Komedie,Animovaný",NaN,2014,NaN,NaN
22,"Krátkometrážní,Drama,Rodinný",Francie,2013,NaN,NaN
67,"Dobrodružný,Fantasy",NaN,1959,59,52
32,"Komedie,Drama",USA,2016,NaN,2
NaN,Krátkometrážní,Francie,NaN,NaN,NaN
50,"Sci-Fi,Akční,Dobrodružný",USA,2019,63,281
74,"Drama,Sportovní",Velká Británie,1935,NaN,NaN
93,Dokumentární,Japonsko,2014,NaN,NaN
62,Dokumentární,Velká Británie,2015,84,53
74,Dokumentární,NaN,2015,NaN,6
108,Drama,NaN,2007,NaN,NaN
45,Dokumentární,Německo,2015,87,11
110,"Animovaný,Drama,Thriller",Japonsko,2016,NaN,4
NaN,"Krátkometrážní,Drama",USA,NaN,NaN,NaN
NaN,"Krátkometrážní,Dobrodružný,Thriller",USA,NaN,NaN,1
89,Drama,NaN,1973,NaN,NaN
1,Krátkometrážní,Francie,1896,NaN,5
83,Dokumentární,NaN,2016,73,34
NaN,Drama,USA,NaN,NaN,NaN
92,Komedie,USA,2016,NaN,3
20,"Animovaný,Komedie",USA,2016,NaN,1
10,Krátkometrážní,NaN,1949,NaN,NaN
102,"Akční,Dobrodružný,Drama,Thriller",NaN,2010,NaN,NaN
87,"Akční,Dobrodružný,Drama,Thriller",NaN,2011,NaN,NaN
98,"Akční,Dobrodružný,Drama,Thriller",NaN,2012,NaN,NaN
110,"Akční,Dobrodružný,Drama,Thriller",NaN,2012,NaN,NaN
94,"Akční,Dobrodružný,Drama,Thriller",NaN,2015,NaN,NaN
24,"Reality-TV,Dokumentární",NaN,2013,NaN,NaN
63,Dokumentární,Francie,2015,70,10
105,Drama,NaN,1991,68,121
37,"Krátkometrážní,Dokumentární",Německo,2007,NaN,NaN
83,,NaN,1949,NaN,1
87,,NaN,1963,NaN,1
NaN,,NaN,NaN,NaN,NaN
NaN,"Krátkometrážní,Drama",USA,NaN,NaN,NaN
74,Dokumentární,NaN,2014,NaN,NaN
5,Krátkometrážní,NaN,2016,NaN,NaN
52,Dokumentární,NaN,2008,NaN,2
91,"Akční,Thriller",USA,1994,22,736
6,"Krátkometrážní,Drama,Katastrofický",USA,2013,49,56
13,"Krátkometrážní,Dokumentární,Drama",NaN,2013,NaN,NaN
17,"Krátkometrážní,Drama",Velká Británie,2015,NaN,NaN
87,"Komedie,Horor,Thriller",USA,2016,NaN,6
81,"Dokumentární,Drama",Rakousko,2014,NaN,NaN
50,"Dokumentární,Historický",NaN,2015,69,22
11,"Animovaný,Komedie",USA,2016,NaN,1
11,"Animovaný,Komedie",USA,2018,NaN,NaN
4,"Krátkometrážní,Hudební",USA,2010,70,80
30,Hudební,Německo,2015,NaN,NaN
91,"Komedie,Drama,Romantický",USA,2002,67,5 890
88,Krimi,NaN,1990,NaN,NaN
NaN,"Krátkometrážní,Komedie",NaN,NaN,NaN,NaN
NaN,"Krátkometrážní,Komedie",Německo,NaN,NaN,NaN
14,"Krátkometrážní,Drama,Rodinný",Kanada,2011,NaN,NaN
NaN,"Komedie,Muzikál",NaN,NaN,NaN,NaN
82,Dokumentární,USA,2016,66,10
108,Komedie,Japonsko,2016,NaN,NaN
55,Dokumentární,NaN,2009,NaN,NaN
14,Krátkometrážní,NaN,2006,NaN,NaN
45,Reality-TV,NaN,2013,NaN,NaN
20,"Hudební,Dokumentární",NaN,1978,NaN,2
124,"Thriller,Romantický",NaN,2016,NaN,NaN
20,"Krátkometrážní,Drama",NaN,2010,NaN,NaN
50,Dokumentární,NaN,2013,NaN,NaN
26,Dokumentární,Německo,2009,NaN,1
14,Krátkometrážní,Maďarsko,2015,NaN,3
30,Publicistický,Rakousko,1955,NaN,6
112,Komedie,NaN,1966,NaN,NaN
25,Talk-show,NaN,2006,NaN,NaN
27,"Dokumentární,Krátkometrážní",NaN,2002,NaN,NaN
95,,NaN,2002,NaN,NaN
43,"Akční,Drama,Fantasy",NaN,2020,96,11
1,"Krátkometrážní,Poetický",NaN,2014,NaN,1
88,Drama,Itálie,2015,NaN,NaN
427,"Mysteriózní,Drama",USA,2017,68,148
5,"Animovaný,Rodinný",NaN,1995,NaN,NaN
5,"Animovaný,Rodinný",NaN,1999,NaN,NaN
70,Dokumentární,Španělsko,2016,62,13
106,"Krimi,Thriller,Horor",NaN,2004,66,8 667
23,"Dokumentární,Krátkometrážní",NaN,1983,NaN,8
30,"Animovaný,Krátkometrážní",USA,1986,NaN,NaN
57,"Krimi,Drama,Komedie",NaN,2018,36,233
4,Krátkometrážní,Polsko,1989,NaN,1
25,Dokumentární,NaN,2008,NaN,NaN
33,"Komedie,Drama",USA,2017,80,24
29,"Komedie,Drama",USA,2019,80,19
90,"Komedie,Drama",NaN,2016,67,22
90,"Komedie,Drama",NaN,2006,NaN,NaN
43,Dokumentární,NaN,2014,NaN,NaN
90,Komedie,NaN,2008,NaN,NaN
90,Komedie,NaN,2009,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
23,"Animovaný,Akční,Drama,Fantasy,Komedie,Mysteriózní",Japonsko,2016,74,13
27,"Krátkometrážní,Drama",Francie,2016,73,71
95,Drama,NaN,2016,NaN,NaN
NaN,"Rodinný,Krimi",NaN,NaN,NaN,NaN
25,"Animovaný,Dobrodružný,Drama,Fantasy",Japonsko,2016,80,33
24,"Animovaný,Komedie,Romantický",Japonsko,2016,NaN,2
7,"Krátkometrážní,Drama",USA,2015,NaN,NaN
42,Dokumentární,NaN,2017,NaN,NaN
43,Dokumentární,NaN,2019,NaN,NaN
23,"Dokumentární,Krátkometrážní",NaN,1982,NaN,6
10,"Krátkometrážní,Drama",NaN,2015,NaN,NaN
8,"Krátkometrážní,Komedie,Thriller",Francie,2014,NaN,3
43,"Drama,Komedie",NaN,2017,NaN,4
27,"Krátkometrážní,Dokumentární",NaN,2015,NaN,1
NaN,"Komedie,Drama",NaN,NaN,NaN,NaN
5,"Krátkometrážní,Komedie",USA,2016,NaN,NaN
85,Dokumentární,USA,2016,NaN,4
27,Komedie,NaN,2014,NaN,NaN
27,"Krátkometrážní,Komedie",USA,2015,NaN,NaN
4,Hudební,USA,2008,64,23
47,"Krimi,Drama,Thriller",Velká Británie,2018,76,45
28,Krátkometrážní,Německo,2002,NaN,1
180,Dokumentární,Německo,2009,NaN,1
26,Dokumentární,Česko,2016,83,13
NaN,NaN,NaN,NaN,NaN,NaN
22,"Animovaný,Akční",USA,2018,NaN,NaN
NaN,,NaN,NaN,NaN,NaN
27,Krátkometrážní,NaN,2000,NaN,1
30,Talk-show,USA,2016,47,38
10,"Animovaný,Rodinný",Německo,2017,NaN,NaN
10,"Krátkometrážní,Animovaný",Španělsko,1942,NaN,NaN
73,Historický,Japonsko,2017,NaN,NaN
42,Drama,Kanada,2019,NaN,NaN
96,"Muzikál,Drama",NaN,1996,NaN,NaN
92,Komedie,USA,2009,NaN,NaN
60,Hudební,Velká Británie,1984,NaN,9
18,"Krátkometrážní,Horor,Sci-Fi",Japonsko,1986,71,106
45,"Hudební,Dokumentární",Francie,2013,NaN,1
24,"Dokumentární,Komedie",Velká Británie,2019,NaN,1
24,"Dokumentární,Komedie",Velká Británie,2019,NaN,2
NaN,,NaN,NaN,NaN,NaN
50,Dokumentární,NaN,1968,NaN,2
14,"Krátkometrážní,Drama",NaN,2014,NaN,NaN
4,"Krátkometrážní,Hudební",NaN,2014,NaN,1
19,"Krátkometrážní,Drama",Německo,2008,NaN,NaN
20,Drama,NaN,2018,NaN,NaN
20,Drama,NaN,2019,NaN,NaN
26,"Thriller,Krátkometrážní,Válečný",Velká Británie,1944,72,123
30,Dokumentární,Rakousko,2016,NaN,NaN
28,Dokumentární,NaN,2014,NaN,NaN
22,"Hudební,Dokumentární",NaN,1990,NaN,3
45,Komedie,Rakousko,2012,NaN,NaN
45,Komedie,Velká Británie,2016,NaN,8
8,"Krátkometrážní,Animovaný",Česko,2015,NaN,4
5,"Animovaný,Krátkometrážní",Velká Británie,2001,NaN,5
NaN,,NaN,NaN,NaN,1
60,Talk-show,Německo,2016,NaN,NaN
120,"Komedie,Reality-TV",Německo,1998,NaN,NaN
14,"Krátkometrážní,Dokumentární",NaN,2013,NaN,NaN
NaN,"Krátkometrážní,Komedie",USA,NaN,NaN,NaN
5,"Animovaný,Rodinný",Německo,2011,NaN,NaN
54,Dokumentární,Velká Británie,2016,NaN,7
6,"Animovaný,Krátkometrážní",NaN,2016,NaN,3
50,"Drama,Historický",Německo,2017,68,16
10,"Animovaný,Krátkometrážní",NaN,2016,NaN,NaN
97,"Rodinný,Dobrodružný",Německo,2016,NaN,3
50,Dokumentární,NaN,1966,NaN,NaN
24,"Animovaný,Rodinný,Akční,Dobrodružný",NaN,2018,NaN,NaN
24,"Animovaný,Rodinný,Akční,Dobrodružný",NaN,2019,NaN,NaN
90,Drama,USA,2016,40,19
22,"Dobrodružný,Komedie,Thriller",USA,2017,NaN,7
90,Dokumentární,NaN,1973,NaN,NaN
71,Drama,NaN,1963,NaN,NaN
45,Drama,Německo,2019,NaN,NaN
90,"Dokumentární,Sportovní",Česko,2005,NaN,5
88,Drama,NaN,1969,NaN,NaN
80,"Drama,Válečný",NaN,1949,NaN,NaN
163,"Komedie,Drama",NaN,2014,NaN,NaN
11,"Animovaný,Krátkometrážní",NaN,2010,NaN,NaN
72,"Dokumentární,Krimi,Drama,Historický",NaN,2016,NaN,1
56,Dokumentární,NaN,1962,NaN,NaN
NaN,"Dobrodružný,Komedie,Drama",NaN,NaN,NaN,NaN
26,Dokumentární,Česko,2016,NaN,3
43,"Drama,Thriller",USA,2018,70,27
83,Mysteriózní,USA,2016,42,67
NaN,Thriller,Kanada,NaN,NaN,NaN
NaN,Drama,USA,NaN,NaN,NaN
87,"Komedie,Romantický",USA,2016,46,59
44,"Krimi,Drama",USA,2019,93,40
NaN,"Krátkometrážní,Komedie",USA,NaN,NaN,NaN
24,"Animovaný,Akční,Fantasy,Komedie",Japonsko,2019,73,23
21,Komedie,USA,2018,65,13
60,Rodinný,NaN,1988,NaN,NaN
11,"Krátkometrážní,Dokumentární",NaN,2010,NaN,NaN
76,Drama,NaN,1962,NaN,1
45,Dokumentární,Velká Británie,2013,NaN,NaN
41,"Reality-TV,Sportovní",NaN,2015,NaN,NaN
14,"Krátkometrážní,Drama,Komedie",NaN,1996,NaN,NaN
1333,"Drama,Životopisný,Historický,Mysteriózní,Romantický",NaN,(2016–2019),78,984
75,"Animovaný,Drama,Sci-Fi",USA,2016,NaN,NaN
NaN,Hudební,NaN,NaN,NaN,NaN
45,Dokumentární,Rakousko,2016,NaN,NaN
86,Drama,Velká Británie,1958,NaN,1
90,Komedie,Velká Británie,2020,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
22,Komedie,USA,2017,65,13
43,Drama,USA,2017,NaN,7
NaN,,Itálie,NaN,NaN,NaN
94,Komedie,Rakousko,1959,NaN,NaN
58,Dokumentární,NaN,2016,NaN,NaN
NaN,Dokumentární,NaN,NaN,NaN,2
90,Dokumentární,Francie,2013,55,13
44,"Dokumentární,Krimi",USA,2014,NaN,NaN
44,"Dokumentární,Krimi",USA,2018,NaN,NaN
10,"Animovaný,Rodinný",Německo,2013,NaN,NaN
8,"Krátkometrážní,Drama,Thriller",NaN,2015,56,14
48,Dokumentární,Německo,2014,83,24
7,Krátkometrážní,NaN,2015,NaN,NaN
82,Drama,NaN,2016,69,508
43,Drama,USA,2016,NaN,2
40,Dokumentární,NaN,2015,NaN,NaN
26,"Komedie,Drama",USA,2017,NaN,NaN
43,Drama,Polsko,2016,NaN,1
NaN,Drama,Japonsko,NaN,NaN,1
NaN,Talk-show,NaN,NaN,NaN,NaN
10,"Krátkometrážní,Muzikál",NaN,1931,NaN,NaN
58,Dokumentární,Francie,2015,67,12
NaN,,NaN,NaN,NaN,NaN
NaN,Dokumentární,USA,NaN,NaN,8
10,Krátkometrážní,Francie,2012,NaN,NaN
115,Drama,NaN,2016,NaN,3
81,,Rakousko,1937,NaN,NaN
79,"Dokumentární,Komedie",Kanada,2014,NaN,NaN
55,"Komedie,Publicistický",Rakousko,2016,NaN,NaN
9,"Krátkometrážní,Dobrodružný",Francie,2018,NaN,2
30,Dokumentární,Německo,2016,NaN,NaN
11,"Krátkometrážní,Drama,Válečný",USA,2008,NaN,NaN
52,Dokumentární,Itálie,2012,NaN,5
45,Romantický,NaN,2013,NaN,NaN
NaN,"Akční,Dobrodružný,Drama",NaN,NaN,NaN,NaN
45,Romantický,NaN,2015,NaN,NaN
45,Dokumentární,Kanada,2015,64,34
75,,Japonsko,1993,NaN,NaN
NaN,"Akční,Drama,Romantický",NaN,NaN,NaN,NaN
73,Dokumentární,NaN,1989,NaN,NaN
NaN,"Publicistický,Talk-show",Česko,NaN,14,35
NaN,Komedie,USA,NaN,NaN,2
45,"Dokumentární,Historický",Německo,2015,NaN,1
42,Komedie,NaN,2015,NaN,NaN
86,Komedie,Japonsko,2016,NaN,NaN
117,Akční,Japonsko,2016,NaN,NaN
8,"Krátkometrážní,Komedie,Fantasy",NaN,2013,NaN,NaN
260,"Animovaný,Rodinný",Německo,(2005–2011),NaN,NaN
139,Thriller,NaN,2016,NaN,NaN
68,Drama,Velká Británie,2006,NaN,NaN
NaN,"Akční,Drama",NaN,NaN,NaN,NaN
NaN,,USA,NaN,NaN,NaN
55,"Komedie,Drama",NaN,1999,NaN,NaN
NaN,,NaN,NaN,NaN,NaN
9,"Dokumentární,Historický",NaN,2011,NaN,NaN
97,"Drama,Komedie",NaN,1933,NaN,NaN
NaN,"Drama,Romantický",NaN,NaN,NaN,NaN
NaN,,NaN,NaN,NaN,1
NaN,Drama,NaN,NaN,NaN,NaN
NaN,,NaN,NaN,NaN,NaN
45,Dokumentární,Německo,2016,NaN,5
NaN,Drama,NaN,NaN,NaN,NaN
44,Dokumentární,NaN,2014,71,56
26,Dokumentární,Francie,2014,NaN,NaN
59,"Akční,Romantický,Drama",NaN,2016,78,10
42,Thriller,NaN,2016,NaN,NaN
93,"Akční,Komedie",Japonsko,2016,NaN,NaN
140,,Japonsko,2003,NaN,NaN
117,"Drama,Romantický",NaN,2014,NaN,7
160,"Fantasy,Muzikál,Romantický",USA,2024,66,2 156
53,"Drama,Válečný",NaN,2016,NaN,NaN
5,Krátkometrážní,NaN,2015,NaN,NaN
45,Komedie,Německo,2006,NaN,NaN
26,Dokumentární,Francie,2018,NaN,4
NaN,Komedie,USA,NaN,NaN,NaN
NaN,"Krátkometrážní,Komedie",USA,NaN,NaN,NaN
25,Dokumentární,Rakousko,2016,NaN,NaN
11,"Animovaný,Akční,Dobrodružný,Sci-Fi",USA,2017,NaN,4
43,"Krimi,Drama,Mysteriózní",USA,2019,79,130
4,"Krátkometrážní,Hudební",USA,1996,56,11
3,"Krátkometrážní,Hudební",Velká Británie,2004,NaN,4
90,Sci-Fi,Japonsko,1959,68,38
114,Drama,Francie,1963,NaN,NaN
17,Publicistický,Česko,2007,31,13
100,Dokumentární,NaN,2011,NaN,1
3,"Krátkometrážní,Hudební,Animovaný",Česko,2016,65,32
49,Krimi,NaN,2019,NaN,NaN
19,"Krátkometrážní,Dokumentární",NaN,2009,NaN,NaN
54,,Japonsko,2004,NaN,2
NaN,Drama,NaN,NaN,NaN,NaN
12,"Krátkometrážní,Dokumentární",NaN,2005,NaN,NaN
83,"Krimi,Thriller",NaN,2015,NaN,NaN
NaN,"Krátkometrážní,Komedie,Drama",NaN,NaN,NaN,NaN
83,Komedie,NaN,1944,NaN,NaN
44,"Romantický,Krimi",NaN,2015,NaN,NaN
43,"Životopisný,Drama",NaN,2015,NaN,NaN
42,"Životopisný,Drama",NaN,2015,NaN,NaN
NaN,Krátkometrážní,NaN,NaN,NaN,NaN
6,"Dokumentární,Krátkometrážní",USA,1928,NaN,NaN
NaN,"Krátkometrážní,Romantický,Western",USA,NaN,NaN,NaN
110,Drama,NaN,1972,NaN,NaN
