delka,zanry,zeme,rok,hodnoceni_procenta,hodnoceni_pocet
25,"Animovaný,Dobrodružný,Fantasy,Komedie",Japonsko,1997,NaN,6
25,"Animovaný,Akční,Komedie,Sci-Fi",Japonsko,1993,NaN,NaN
1176,"Animovaný,Drama,Sci-Fi,Válečný",Japonsko,(1995–1996),72,45
45,"Drama,Romantický",Německo,1999,NaN,NaN
45,"Drama,Romantický",Německo,2000,NaN,NaN
45,"Drama,Romantický",Německo,2001,NaN,NaN
45,"Drama,Romantický",Německo,2003,NaN,NaN
45,"Drama,Romantický",Německo,2006,NaN,NaN
45,"Drama,Romantický",Německo,2009,NaN,NaN
45,"Drama,Romantický",Německo,2010,NaN,NaN
45,"Drama,Romantický",Německo,2015,NaN,NaN
1224,"Animovaný,Akční,Dobrodružný,Komedie,Sportovní",Japonsko,(2016–2017),NaN,NaN
87,"Rodinný,Komedie",NaN,1963,NaN,NaN
NaN,Akční,USA,NaN,NaN,2
29,"Animovaný,Akční,Komedie,Fantasy",Japonsko,1994,NaN,8
25,"Animovaný,Akční,Fantasy,Komedie",Japonsko,2002,NaN,NaN
42,"Komedie,Drama",NaN,2004,NaN,NaN
127,"Drama,Historický",NaN,2004,62,61
60,Drama,NaN,1987,NaN,1
NaN,Komedie,Francie,NaN,NaN,NaN
180,Dokumentární,Německo,2001,NaN,6
NaN,Válečný,Velká Británie,NaN,NaN,2
94,"Drama,Válečný",NaN,1988,56,54
44,"Drama,Sportovní",USA,2006,NaN,8
107,"Romantický,Komedie,Rodinný",USA,2004,43,18 071
80,Drama,NaN,1975,NaN,NaN
30,Dokumentární,USA,1982,NaN,NaN
NaN,"Akční,Drama",NaN,NaN,NaN,1
9,"Dokumentární,Krátkometrážní",USA,2002,NaN,5
10,Krátkometrážní,NaN,2001,NaN,NaN
86,"Drama,Komedie,Romantický",NaN,2004,58,238
115,Drama,NaN,1972,NaN,NaN
93,Drama,Velká Británie,1986,NaN,NaN
12,"Krátkometrážní,Komedie,Drama",USA,2003,66,157
21,"Komedie,Romantický",USA,2013,67,196
21,"Komedie,Romantický",USA,2014,63,191
105,Drama,Velká Británie,1978,NaN,3
NaN,Drama,NaN,NaN,NaN,NaN
90,Akční,Francie,1975,NaN,NaN
60,"Dokumentární,Muzikál,Rodinný",NaN,1964,NaN,1
22,"Animovaný,Komedie,Sci-Fi",NaN,2005,NaN,2
NaN,Dokumentární,Velká Británie,NaN,NaN,5
46,"Drama,Krimi",USA,2004,66,27
50,"Krimi,Drama",Velká Británie,1987,NaN,NaN
45,"Krimi,Drama,Mysteriózní,Thriller",USA,2006,81,98
45,"Krimi,Drama,Mysteriózní,Thriller",USA,2008,85,99
97,Válečný,NaN,1973,72,34
72,Krimi,Velká Británie,1963,NaN,1
70,"Dokumentární,Hudební",USA,1999,NaN,9
140,Drama,NaN,1987,NaN,1
23,"Animovaný,Sci-Fi,Rodinný",Maďarsko,1969,88,109
93,Dobrodružný,NaN,1981,NaN,NaN
104,Válečný,NaN,1970,NaN,2
25,"Dokumentární,Horor",USA,1996,NaN,2
25,"Dokumentární,Horor",USA,1996,NaN,2
37,Krátkometrážní,USA,1976,NaN,NaN
NaN,,USA,NaN,NaN,2
142,"Drama,Romantický",USA,2001,NaN,2
74,Pohádka,Česko,1993,60,395
20,Drama,Velká Británie,1974,NaN,NaN
99,"Akční,Krimi,Drama",NaN,1990,NaN,2
29,"Pohádka,Komedie",NaN,1982,74,1 270
90,Thriller,Francie,1998,NaN,1
92,Dokumentární,Francie,1984,84,34
NaN,Komedie,NaN,NaN,NaN,5
84,Drama,Španělsko,1954,NaN,NaN
NaN,Drama,NaN,NaN,NaN,NaN
NaN,,Francie,NaN,NaN,NaN
42,"Dokumentární,Historický,Hudební",USA,1995,85,40
93,Drama,Itálie,1972,NaN,NaN
66,Komedie,NaN,1932,NaN,1
100,Western,Itálie,1975,NaN,1
98,Drama,Itálie,1953,NaN,NaN
23,,Kanada,1993,NaN,NaN
23,,Kanada,1996,NaN,NaN
1357,,Kanada,(1993–1998),NaN,NaN
66,,NaN,1970,NaN,NaN
85,"Drama,Thriller",NaN,1935,NaN,NaN
123,Drama,NaN,1979,NaN,NaN
36,"Sci-Fi,Mysteriózní,Thriller",NaN,1978,NaN,2
80,"Drama,Historický",Itálie,1934,NaN,6
NaN,,Itálie,NaN,NaN,NaN
176,"Drama,Válečný",NaN,1995,77,153
NaN,Komedie,Itálie,NaN,NaN,NaN
22,"Animovaný,Akční,Drama,Fantasy,Horor",Japonsko,1997,89,81
93,Komedie,NaN,1977,NaN,2
88,Krimi,Německo,2014,NaN,3
NaN,Komedie,NaN,NaN,NaN,NaN
94,"Drama,Romantický",NaN,1937,NaN,NaN
45,"Animovaný,Komedie",Velká Británie,1992,NaN,NaN
NaN,Komedie,NaN,NaN,NaN,NaN
30,Komedie,NaN,1987,NaN,NaN
125,"Thriller,Krimi",Kanada,2002,NaN,5
NaN,,Francie,NaN,NaN,NaN
62,Drama,NaN,1972,NaN,NaN
45,Komedie,NaN,1997,NaN,NaN
67,Krimi,NaN,1976,NaN,1
92,"Dobrodružný,Komedie",NaN,1968,NaN,NaN
94,"Drama,Romantický",NaN,1938,NaN,NaN
92,Drama,NaN,1986,NaN,1
25,"Animovaný,Akční,Sci-Fi,Thriller",Japonsko,2004,88,19
45,Dokumentární,Německo,2006,64,44
99,"Komedie,Romantický",NaN,1956,NaN,2
99,"Komedie,Romantický",NaN,1934,NaN,NaN
NaN,"Animovaný,Krátkometrážní,Akční",NaN,NaN,NaN,NaN
NaN,,Itálie,NaN,NaN,NaN
86,"Drama,Muzikál",Itálie,1948,NaN,NaN
NaN,,Itálie,NaN,NaN,NaN
60,"Animovaný,Akční,Komedie,Sci-Fi",Japonsko,1989,NaN,4
25,"Animovaný,Dobrodružný,Drama,Komedie,Krimi,Thriller",Japonsko,1998,NaN,1
25,"Animovaný,Dobrodružný,Drama,Komedie,Krimi,Thriller",Japonsko,1999,NaN,1
50,"Animovaný,Dobrodružný,Drama,Komedie,Krimi,Thriller",Japonsko,1999,NaN,1
25,"Animovaný,Dobrodružný,Drama,Komedie,Krimi,Thriller",Japonsko,2000,NaN,1
25,"Animovaný,Dobrodružný,Drama,Komedie,Krimi,Thriller",Japonsko,2003,NaN,1
25,"Animovaný,Dobrodružný,Drama,Komedie,Krimi,Thriller",Japonsko,2004,NaN,1
25,"Animovaný,Dobrodružný,Drama,Komedie,Krimi,Thriller",Japonsko,2006,NaN,1
25,"Animovaný,Dobrodružný,Drama,Komedie,Krimi,Thriller",Japonsko,2012,NaN,NaN
25,"Animovaný,Dobrodružný,Drama,Komedie,Krimi,Thriller",Japonsko,2016,NaN,NaN
25,"Animovaný,Dobrodružný,Drama,Komedie,Krimi,Thriller",Japonsko,2018,NaN,1
