delka,rok,hodnoceni_procenta,hodnoceni_pocet,zanr,zeme
45.0,2007,76.0,304,24,11
9.0,1970,78.0,17,14,4
45.0,2006,70.0,14,13,10
43.0,2007,75.0,12,13,10
43.0,2008,64.0,14,13,10
42.0,2018,85.0,43,13,10
80.0,2003,37.0,21,13,10
86.0,1992,75.0,11,12,10
90.0,2000,51.0,11,3,1
22.0,2007,75.0,165,12,10
69.0,2005,56.0,210,22,12
42.0,2020,71.0,72,1,10
42.0,2007,80.0,108,12,10
42.0,2007,76.0,101,12,10
44.0,2009,72.0,91,12,10
40.0,2017,83.0,84,12,10
22.0,2006,82.0,525,12,10
22.0,2009,84.0,413,12,10
22.0,2013,79.0,335,12,10
44.0,2005,87.0,485,10,10
43.0,2006,92.0,362,10,10
55.0,2006,87.0,311,10,10
1007.0,2008,92.0,663,10,10
60.0,2009,95.0,238,10,10
42.0,2014,84.0,143,10,10
42.0,2015,78.0,132,10,10
103.0,2006,55.0,1362,5,10
54.0,2005,72.0,33,4,9
56.0,1995,59.0,54,5,12
88.0,2022,30.0,63,11,10
73.0,1972,51.0,13,17,10
7.0,2005,76.0,39,2,12
24.0,2004,86.0,34,2,3
24.0,2004,88.0,26,2,3
24.0,2005,79.0,15,2,3
92.0,2002,74.0,31,2,3
8784.0,2004,81.0,118,2,3
24.0,2007,84.0,15,2,3
85.0,1992,56.0,51,12,10
44.0,2010,68.0,16,5,10
42.0,2011,65.0,15,12,10
50.0,2007,40.0,13,5,12
62.0,1998,48.0,390,18,12
66.0,1998,74.0,138,5,12
56.0,2006,57.0,30,4,12
43.0,2007,81.0,72,5,10
43.0,2009,76.0,60,5,10
105.0,2007,63.0,102,5,11
109.0,1982,64.0,282,12,1
110.0,1980,66.0,427,12,1
859.0,2009,66.0,10,12,10
82.0,2006,70.0,5778,5,10
1.0,1896,54.0,92,14,10
8.0,1943,65.0,38,14,10
112.0,1981,63.0,22,12,11
98.0,2007,53.0,7382,12,10
114.0,2007,83.0,24968,5,10
85.0,2007,63.0,4779,13,10
122.0,1987,84.0,41,4,3
44.0,2016,83.0,45,4,4
44.0,2016,78.0,53,4,4
50.0,2018,79.0,29,4,4
1.0,1902,62.0,31,14,10
30.0,2007,60.0,274,4,9
118.0,2007,29.0,407,10,10
10.0,1974,65.0,43,2,4
2.0,1962,39.0,42,2,11
83.0,2007,54.0,1152,2,10
91.0,2007,71.0,2279,5,10
103.0,2010,61.0,13995,10,10
52.0,2007,24.0,14,5,12
92.0,2007,44.0,782,1,10
88.0,2005,49.0,17,10,10
57.0,1997,88.0,41,4,12
87.0,2005,64.0,143,22,4
27.0,2006,89.0,112,12,10
1.0,1900,66.0,113,14,11
47.0,2012,73.0,46,5,11
90.0,2008,35.0,115,13,10
1196.0,2005,53.0,31,2,1
104.0,2006,61.0,54,22,3
11.0,1972,63.0,40,14,10
4.0,1904,51.0,13,14,11
22.0,2009,81.0,326,2,10
99.0,1982,64.0,11,2,3
24.0,2009,90.0,95,2,3
24.0,2012,93.0,91,2,3
24.0,2012,91.0,79,2,3
24.0,2014,93.0,73,2,3
125.0,2007,59.0,16,5,6
113.0,2007,68.0,39,5,13
7.0,2009,88.0,26,2,11
7.0,2016,91.0,17,2,11
110.0,2012,62.0,5960,12,12
45.0,1997,77.0,82,4,10
612.0,2007,80.0,358,5,10
590.0,2007,79.0,22,5,10
91.0,2007,81.0,613,4,10
99.0,2009,57.0,48,5,10
341.0,2016,80.0,191,5,11
286.0,2007,69.0,71,12,10
1990.0,2007,47.0,599,5,10
102.0,1950,64.0,21,13,10
29.0,2004,74.0,14,12,11
3.0,1968,60.0,11,14,1
91.0,2009,57.0,4726,1,11
210.0,2007,90.0,285,4,10
92.0,2006,55.0,39,5,10
50.0,1989,35.0,11,2,3
94.0,2007,46.0,149,5,10
95.0,2006,26.0,91,28,4
11.0,2008,93.0,27,2,10
11.0,2013,85.0,13,2,10
80.0,2007,70.0,783,5,1
373.0,2006,74.0,88,13,11
122.0,2008,64.0,236,13,11
21.0,2011,72.0,10,12,10
25.0,1973,89.0,167,2,5
24.0,2006,85.0,12,2,3
3.0,2007,66.0,38,12,12
94.0,2009,53.0,9467,3,10
108.0,1995,59.0,3058,1,10
80.0,1919,75.0,15,12,10
105.0,1966,66.0,486,28,10
6.0,1963,58.0,22,14,10
96.0,2010,45.0,10365,1,10
129.0,2011,65.0,547,23,11
101.0,2008,47.0,321,17,10
98.0,2007,34.0,60,5,10
137.0,2004,85.0,133,4,12
4471.0,2008,80.0,9201,17,10
92.0,1960,63.0,14,12,11
88.0,2007,36.0,48,17,10
112.0,2006,88.0,16,4,10
90.0,2006,49.0,96,28,4
57.0,2005,92.0,438,11,12
41.0,2012,78.0,137,5,10
43.0,2014,75.0,142,5,10
85.0,1938,72.0,23,12,11
20.0,2005,84.0,11,4,12
92.0,2004,16.0,189,24,4
90.0,2007,48.0,128,24,10
104.0,2009,71.0,73,12,6
50.0,2010,86.0,29,3,11
7.0,2008,71.0,20,4,10
8.0,2003,71.0,30,15,12
90.0,2000,65.0,34,12,10
323.0,2017,92.0,48,2,3
84.0,1972,46.0,14,10,10
26.0,2009,81.0,78,4,12
26.0,2009,77.0,97,4,12
27.0,2010,74.0,64,4,12
26.0,2010,72.0,71,4,12
26.0,2011,72.0,51,4,12
26.0,2019,67.0,27,4,12
18.0,2008,58.0,41,4,12
60.0,2005,25.0,9811,21,12
52.0,2016,95.0,12,5,1
52.0,2017,94.0,13,5,1
85.0,2008,85.0,941,12,10
57.0,2003,58.0,52,4,12
26.0,2007,82.0,376,4,1
24.0,2008,80.0,19,2,3
8.0,1982,81.0,23,14,3
87.0,2006,64.0,11,13,1
77.0,2005,15.0,15,12,13
43.0,2009,85.0,90,13,10
44.0,2012,86.0,78,13,10
44.0,2013,79.0,70,13,10
43.0,2013,82.0,76,13,10
45.0,2013,82.0,68,13,10
45.0,2013,78.0,63,13,10
17.0,2008,72.0,223,4,12
43.0,2011,70.0,42,13,10
28.0,2010,75.0,21,12,10
45.0,2011,85.0,36,12,10
81.0,1955,75.0,1153,28,10
48.0,2007,61.0,79,4,12
46.0,2009,64.0,21,5,9
4737.0,2006,64.0,180,2,10
30.0,2007,65.0,103,4,11
8.0,2009,76.0,74,4,12
21.0,2010,83.0,77,12,10
22.0,2015,93.0,42,12,10
52.0,2010,71.0,25,4,12
43.0,2017,65.0,122,3,10
86.0,2010,59.0,1003,28,10
90.0,2008,42.0,11,23,4
24.0,2007,72.0,60,2,3
95.0,2009,79.0,560,5,10
42.0,2009,81.0,217,5,10
42.0,2014,83.0,114,5,10
43.0,2017,82.0,104,5,10
40.0,1997,24.0,2572,25,12
73.0,2008,58.0,11,12,4
84.0,1973,73.0,61,12,10
3.0,2012,80.0,37,2,12
60.0,1997,80.0,24,4,10
57.0,2003,80.0,13,4,11
75.0,2004,92.0,154,11,10
42.0,2011,62.0,21,13,10
42.0,2013,59.0,19,13,10
43.0,2017,58.0,23,13,10
42.0,2019,65.0,20,13,10
195.0,2007,79.0,31,4,12
102.0,2008,49.0,26,13,2
60.0,2017,73.0,12,13,6
107.0,2010,76.0,37578,1,10
90.0,2001,61.0,23,13,6
90.0,1999,37.0,37,13,6
90.0,2016,65.0,48,13,6
90.0,2018,75.0,16,13,6
94.0,1949,63.0,13,5,10
30.0,2009,76.0,19,12,11
30.0,2009,75.0,19,12,11
100.0,2009,54.0,10,12,10
58.0,2000,78.0,150,4,12
52.0,2004,85.0,39,4,12
52.0,2010,82.0,265,22,12
52.0,2012,80.0,166,22,12
43.0,2010,65.0,21,24,10
91.0,2009,55.0,123,17,13
57.0,2009,61.0,84,4,12
44.0,2013,63.0,22,4,10
156.0,1943,82.0,112,5,10
79.0,1991,66.0,10,13,10
22.0,2009,87.0,204,12,10
22.0,2013,84.0,129,12,10
102.0,2009,55.0,878,1,10
21.0,2011,79.0,111,12,10
21.0,2013,79.0,94,12,10
483.0,2016,81.0,235,12,10
22.0,2011,80.0,67,2,10
22.0,2014,83.0,58,2,10
85.0,2008,75.0,11,4,10
2305.0,2010,52.0,2155,12,10
83.0,2009,59.0,32,5,3
58.0,2009,80.0,65,13,3
90.0,2013,37.0,23,12,10
54.0,2008,81.0,26,23,3
29.0,2009,61.0,31,4,12
118.0,2009,69.0,44,4,12
105.0,2009,78.0,13,4,12
57.0,2009,20.0,450,18,12
130.0,2000,46.0,14,10,6
80.0,2009,24.0,485,10,10
62.0,2008,75.0,199,12,12
44.0,2008,55.0,21,4,10
60.0,2006,70.0,14,5,11
87.0,2000,53.0,18,19,10
97.0,2010,72.0,11537,5,10
53.0,2008,61.0,56,11,12
60.0,2006,87.0,43,11,12
45.0,2008,71.0,13,4,9
52.0,2007,64.0,51,11,12
41.0,2011,52.0,12,5,9
160.0,2005,58.0,19,19,10
42.0,2011,81.0,139,5,10
42.0,2011,87.0,113,5,10
42.0,2014,90.0,87,5,10
47.0,2010,88.0,203,5,11
64.0,2011,83.0,52,5,10
15.0,2009,39.0,35,14,12
43.0,2010,57.0,15,4,12
42.0,2013,76.0,18,1,10
48.0,2008,79.0,36,4,11
103.0,1984,75.0,150,5,10
240.0,2010,87.0,156,26,10
89.0,1940,80.0,12,12,10
90.0,2005,17.0,184,24,10
58.0,2008,73.0,49,4,12
3.0,2013,71.0,592,14,9
484.0,2011,65.0,242,5,10
10.0,1997,63.0,14,14,3
97.0,2001,24.0,15,3,2
44.0,2013,85.0,66,5,10
46.0,2016,83.0,70,12,10
9.0,1946,65.0,27,2,1
100.0,1987,60.0,66,3,10
6.0,1909,55.0,51,14,1
90.0,2012,22.0,1844,12,12
79.0,1951,70.0,52,12,11
119.0,1947,86.0,27,5,10
50.0,2008,80.0,69,5,3
52.0,2009,70.0,33,4,4
180.0,2010,83.0,72,26,10
113.0,2010,71.0,1037,12,11
76.0,1996,59.0,27,12,12
60.0,2008,69.0,33,4,9
21.0,2014,75.0,11,12,10
104.0,2009,83.0,126,4,1
93.0,2011,57.0,1399,12,10
41.0,2002,10.0,41,11,9
42.0,2012,75.0,25,13,10
1050.0,2015,70.0,56,13,10
1050.0,2016,68.0,51,13,10
41.0,2019,77.0,18,13,10
12.0,2014,95.0,27,2,10
12.0,2014,93.0,30,2,10
44.0,2018,95.0,39,2,10
52.0,2010,85.0,75,11,12
5.0,2007,75.0,28,14,12
83.0,1948,68.0,13,12,10
61.0,2008,69.0,32,4,1
6.0,2009,72.0,253,14,1
22.0,2011,89.0,19,2,10
100.0,2011,35.0,206,5,2
60.0,2006,69.0,50,21,4
30.0,2007,31.0,481,20,9
30.0,2010,32.0,33,14,12
5.0,2009,54.0,19,14,12
30.0,2010,80.0,26,12,11
36.0,2009,70.0,73,12,3
53.0,2009,64.0,15,4,6
18.0,2009,59.0,14,14,10
143.0,1962,58.0,29,16,10
121.0,2012,65.0,30717,3,10
43.0,2017,77.0,13,4,10
17.0,2010,60.0,11,4,12
22.0,2011,87.0,11,2,10
2.0,2006,64.0,46,14,11
5.0,2011,57.0,15,4,12
30.0,2001,35.0,38,2,3
30.0,2013,88.0,70,12,11
80.0,2011,67.0,20,12,10
56.0,2012,91.0,224,13,10
90.0,2010,88.0,329,12,11
43.0,2003,70.0,12,4,4
50.0,2010,87.0,31,4,1
50.0,2000,70.0,12,4,11
23.0,2011,70.0,20,2,10
41.0,2007,26.0,82,19,10
51.0,2011,93.0,11,4,11
70.0,2011,14.0,46,10,10
44.0,2012,77.0,120,13,10
7.0,2010,64.0,36,2,10
24.0,2011,89.0,11,2,3
500.0,1973,83.0,16,5,7
26.0,2012,62.0,13,4,12
8.0,1990,52.0,56,14,1
23.0,2014,90.0,100,2,10
9.0,2012,21.0,16,14,11
7.0,2009,85.0,11,14,6
5.0,2009,80.0,1234,12,10
180.0,2011,58.0,184,5,2
84.0,2012,23.0,13,10,10
55.0,2010,81.0,68,11,10
94.0,2011,54.0,570,1,4
80.0,2011,74.0,497,11,10
44.0,2017,74.0,67,7,10
41.0,2014,85.0,22,12,10
21.0,2013,83.0,109,12,10
111.0,2010,87.0,177,12,12
20.0,2011,69.0,18,4,12
90.0,1998,56.0,33,22,10
107.0,2010,35.0,16,10,10
8.0,2010,87.0,11,2,10
52.0,2007,67.0,70,4,6
104.0,2011,68.0,79,5,8
4.0,2009,45.0,58,14,11
15.0,2009,48.0,10,14,12
43.0,2013,90.0,171,5,10
42.0,2019,89.0,73,5,10
17.0,2007,73.0,49,4,12
45.0,2010,73.0,45,4,4
1050.0,2011,70.0,22,3,13
91.0,2011,44.0,110,10,10
95.0,2012,40.0,151,10,3
43.0,2012,89.0,91,5,10
96.0,2006,59.0,79,2,2
88.0,2020,73.0,18,13,11
4.0,2011,42.0,11,14,10
13.0,2010,64.0,19,4,12
60.0,2009,64.0,19,4,6
2.0,2010,56.0,36,14,6
49.0,2009,83.0,68,4,11
19.0,2006,68.0,12,14,9
24.0,2006,61.0,29,2,3
109.0,2012,63.0,19,12,3
79.0,1989,53.0,12,10,10
11.0,2011,49.0,94,14,9
205.0,2011,79.0,210,5,11
52.0,2011,72.0,59,5,11
49.0,2019,84.0,49,5,11
90.0,2010,34.0,90,5,6
90.0,2010,38.0,81,12,6
