rok,delka,hodnoceni_pocet,zanr,zeme
2010,96.0,10 365,Akční,USA
2011,129.0,547,Romantický,Velká Británie
2008,101.0,321,Mysteriózní,USA
2007,98.0,60,Drama,USA
2004,137.0,133,Dokumentární,Česko
(2008–2013),4471.0,9 201,Mysteriózní,USA
1960,92.0,14,Komedie,Velká Británie
2007,88.0,48,Mysteriózní,USA
2006,112.0,16,Dokumentární,USA
2006,90.0,96,Thriller,Kanada
2005,57.0,438,Hudební,Česko
2012,41.0,137,Drama,USA
2014,43.0,142,Drama,USA
1938,85.0,23,Komedie,Velká Británie
2005,20.0,11,Dokumentární,Česko
2004,92.0,189,Sci-Fi,Kanada
2007,90.0,128,Sci-Fi,USA
2009,104.0,73,Komedie,Německo
2010,50.0,29,Dobrodružný,Velká Británie
2008,7.0,20,Dokumentární,USA
2003,8.0,30,Loutkový,Česko
2000,90.0,34,Komedie,USA
2017,323.0,48,Animovaný,Japonsko
1972,84.0,14,Horor,USA
2009,26.0,78,Dokumentární,Česko
2009,26.0,97,Dokumentární,Česko
2010,27.0,64,Dokumentární,Česko
2010,26.0,71,Dokumentární,Česko
2011,26.0,51,Dokumentární,Česko
2019,26.0,27,Dokumentární,Česko
2008,18.0,41,Dokumentární,Česko
2005,60.0,9 811,Reality-TV,Česko
2016,52.0,12,Drama,Francie
2017,52.0,13,Drama,Francie
2008,85.0,941,Komedie,USA
2003,57.0,52,Dokumentární,Česko
2007,26.0,376,Dokumentární,Francie
2008,24.0,19,Animovaný,Japonsko
1982,8.0,23,Krátkometrážní,Japonsko
2006,87.0,11,Krimi,Francie
2005,77.0,15,Komedie,Španělsko
2009,43.0,90,Krimi,USA
2012,44.0,78,Krimi,USA
2013,44.0,70,Krimi,USA
2013,43.0,76,Krimi,USA
2013,45.0,68,Krimi,USA
2013,45.0,63,Krimi,USA
2008,17.0,223,Dokumentární,Česko
2011,43.0,42,Krimi,USA
2010,28.0,21,Komedie,USA
2011,45.0,36,Komedie,USA
1955,81.0,1 153,Thriller,USA
2007,48.0,79,Dokumentární,Česko
2009,46.0,21,Drama,Slovensko
(2006–2022),4737.0,180,Animovaný,USA
2007,30.0,103,Dokumentární,Velká Británie
2009,8.0,74,Dokumentární,Česko
2010,21.0,77,Komedie,USA
2015,22.0,42,Komedie,USA
2010,52.0,25,Dokumentární,Česko
2017,43.0,122,Dobrodružný,USA
2010,86.0,1 003,Thriller,USA
2008,90.0,11,Romantický,Kanada
2007,24.0,60,Animovaný,Japonsko
2009,95.0,560,Drama,USA
2009,42.0,217,Drama,USA
2014,42.0,114,Drama,USA
2017,43.0,104,Drama,USA
1997,40.0,2 572,Soutěžní,Česko
2008,73.0,11,Komedie,Kanada
1973,84.0,61,Komedie,USA
2012,3.0,37,Animovaný,Česko
1997,60.0,24,Dokumentární,USA
2003,57.0,13,Dokumentární,Velká Británie
2004,75.0,154,Hudební,USA
2011,42.0,21,Krimi,USA
2013,42.0,19,Krimi,USA
2017,43.0,23,Krimi,USA
2019,42.0,20,Krimi,USA
2007,195.0,31,Dokumentární,Česko
2008,102.0,26,Krimi,Itálie
2017,60.0,12,Krimi,Německo
2010,107.0,37 578,Akční,USA
2001,90.0,23,Krimi,Německo
1999,90.0,37,Krimi,Německo
2016,90.0,48,Krimi,Německo
2018,90.0,16,Krimi,Německo
1949,94.0,13,Drama,USA
2009,30.0,19,Komedie,Velká Británie
2009,30.0,19,Komedie,Velká Británie
2009,100.0,10,Komedie,USA
2000,58.0,150,Dokumentární,Česko
2004,52.0,39,Dokumentární,Česko
2010,52.0,265,Rodinný,Česko
2012,52.0,166,Rodinný,Česko
2010,43.0,21,Sci-Fi,USA
2009,91.0,123,Mysteriózní,Španělsko
2009,57.0,84,Dokumentární,Česko
2013,44.0,22,Dokumentární,USA
1943,156.0,112,Drama,USA
1991,79.0,10,Krimi,USA
2009,22.0,204,Komedie,USA
2013,22.0,129,Komedie,USA
2009,102.0,878,Akční,USA
2011,21.0,111,Komedie,USA
2013,21.0,94,Komedie,USA
(2016–2017),483.0,235,Komedie,USA
2011,22.0,67,Animovaný,USA
2014,22.0,58,Animovaný,USA
2008,85.0,11,Dokumentární,USA
(2010–2014),2305.0,2 155,Komedie,USA
2009,83.0,32,Drama,Japonsko
2009,58.0,65,Krimi,Japonsko
2013,90.0,23,Komedie,USA
2008,54.0,26,Romantický,Japonsko
2009,29.0,31,Dokumentární,Česko
2009,118.0,44,Dokumentární,Česko
2009,105.0,13,Dokumentární,Česko
2009,57.0,450,Pohádka,Česko
2000,130.0,14,Horor,Německo
2009,80.0,485,Horor,USA
2008,62.0,199,Komedie,Česko
2008,44.0,21,Dokumentární,USA
2006,60.0,14,Drama,Velká Británie
2000,87.0,18,Pornografický,USA
2010,97.0,11 537,Drama,USA
2008,53.0,56,Hudební,Česko
2006,60.0,43,Hudební,Česko
2008,45.0,13,Dokumentární,Slovensko
2007,52.0,51,Hudební,Česko
2011,41.0,12,Drama,Slovensko
2005,160.0,19,Pornografický,USA
2011,42.0,139,Drama,USA
2011,42.0,113,Drama,USA
2014,42.0,87,Drama,USA
2010,47.0,203,Drama,Velká Británie
2011,64.0,52,Drama,USA
2009,15.0,35,Krátkometrážní,Česko
2010,43.0,15,Dokumentární,Česko
2013,42.0,18,Akční,USA
2008,48.0,36,Dokumentární,Velká Británie
1984,103.0,150,Drama,USA
2010,240.0,156,Sportovní,USA
1940,89.0,12,Komedie,USA
2005,90.0,184,Sci-Fi,USA
2008,58.0,49,Dokumentární,Česko
2013,3.0,592,Krátkometrážní,Slovensko
2011,484.0,242,Drama,USA
1997,10.0,14,Krátkometrážní,Japonsko
2001,97.0,15,Dobrodružný,Itálie
2013,44.0,66,Drama,USA
2016,46.0,70,Komedie,USA
1946,9.0,27,Animovaný,Francie
1987,100.0,66,Dobrodružný,USA
